2023/08/29	01/00/43	b42567e2-2c98-4c84-9492-52673698663a	GET	undefined	/subdir/css/style.css
2023/08/29	01/01/27	5ff35d8d-dee8-43d9-ae03-1a0b8261229d	GET	undefined	/subdir/test
2023/08/29	01/01/27	cec9a1be-af18-4f42-b3e2-0c0b14ebb5ff	GET	undefined	/subdir/css/style.css
2023/08/29	01/01/31	c7768829-2564-4661-bf67-637763e39185	GET	undefined	/subdir
2023/08/29	01/01/31	a8d7d7f7-6b2a-450b-a129-bcf426bdd9c6	GET	undefined	/css/style.css
2023/08/29	01/01/44	fdb992e0-8191-4bfa-ad73-e2d2a569d1e5	GET	undefined	/
2023/08/29	01/01/44	75dbdd45-31c1-4088-9c4c-ac937ac917ef	GET	undefined	/css/style.css
2023/08/29	01/01/50	1c82ec8a-1727-4f1b-9654-bf26713430bd	GET	undefined	/subdir/test
2023/08/29	01/01/50	0e15d6b5-b632-4bcf-a6bb-cfeb351005c8	GET	undefined	/subdir/css/style.css
2023/08/29	01/02/21	2b3f065c-bc27-4b7a-ad1f-d5db1797b4b2	GET	undefined	/subdir/test
2023/08/29	01/02/21	bbe0e542-4fa5-4973-8b03-75c9118e975f	GET	undefined	/subdir/css/style.css
2023/08/29	01/02/27	79521af8-8866-4144-953f-eb7c2666954f	GET	undefined	/subdir
2023/08/29	01/02/27	6dbeeac1-f306-41d7-a5e1-8ddd337f4589	GET	undefined	/css/style.css
2023/08/29	01/04/41	c81e6b5b-b6df-4ae0-920a-db685c3448a6	GET	undefined	/subdir/test
2023/08/29	01/04/41	e33a3d2a-6816-4424-9eef-f624dc48e419	GET	undefined	/public/css/style.css
2023/08/29	01/22/22	114e77b3-a81f-4bb9-b7d1-46c21abf7fe2	GET	undefined	/
2023/08/29	01/22/22	4d5e9f85-499f-4a19-bbbb-bf66a4e2c923	GET	undefined	/css/style.css
2023/08/29	01/22/26	c1598bed-0d9d-44da-acd9-85cb98632f4b	GET	undefined	/subdir
2023/08/29	01/22/26	73db798b-fa55-4fc4-af38-f57bc1671ec1	GET	undefined	/css/style.css
2023/08/29	01/22/31	53897366-c527-4854-a201-db65fb532640	GET	undefined	/subdir/test
2023/08/29	01/22/31	a90ac149-02a3-4d36-b76b-9f1f9e122786	GET	undefined	/subdir/css/style.css
2023/08/29	01/22/41	207e65a2-745a-4142-b3df-3d069d58ae53	GET	undefined	/subdir/hi
